Knotennummer	X-Position (m)	Y-Position (m)	Z-Position (m)	
294	0,1523692745	-2,818031642e-002	0,1239198737	
295	0,130809899	-8,25721254e-002	0,1228825492	
79	0,	-0,1959844447	0,15	
84	0,	-0,1959844447	0,1	
85	0,	-0,1959844447	0,125	
91	0,	-0,1594883335	0,15	
92	0,	-0,1229922224	0,15	
93	0,	-8,649611118e-002	0,15	
97	0,	-0,1594883335	0,1	
98	0,	-0,1229922224	0,1	
99	0,	-8,649611118e-002	0,1	
80	2,771638598e-002	-0,1845039418	0,15	
81	5,543277195e-002	-0,1730234388	0,15	
82	8,314915793e-002	-0,1615429358	0,15	
83	0,1108655439	-0,1500624328	0,15	
86	2,771638598e-002	-0,1845039418	0,1	
87	5,543277195e-002	-0,1730234388	0,1	
88	8,314915793e-002	-0,1615429358	0,1	
89	0,1108655439	-0,1500624328	0,1	
279	4,222426414e-002	-0,1077754988	0,1	
280	4,222426414e-002	-0,1077754988	0,15	
296	3,369329486e-002	-7,433074079e-002	0,125	
297	3,683982554e-002	-0,1521972841	0,125	
298	8,767852762e-002	-0,1249788473	0,125	
90	0,	-5,e-002	0,15	
95	0,	-5,e-002	0,1	
96	0,	-5,e-002	0,125	
94	2,5e-002	-5,e-002	0,15	
100	2,5e-002	-5,e-002	0,1	
101	-5,e-002	-5,e-002	0,1	
108	-5,e-002	-5,e-002	0,15	
112	-5,e-002	-5,e-002	0,125	
102	-0,1385819299	-0,1385819299	0,1	
103	-7,214548247e-002	-7,214548247e-002	0,1	
104	-9,429096494e-002	-9,429096494e-002	0,1	
105	-0,1164364474	-0,1164364474	0,1	
106	-0,1385819299	-0,1385819299	0,15	
