time[s],flange_omega_x[rad/s],flange_omega_y[rad/s],flange_omega_z[rad/s],flange_alpha_x[rad/s2],flange_alpha_y[rad/s2],flange_alpha_z[rad/s2],cycloid_acc_x[m/s2],cycloid_acc_y[m/s2],cycloid_acc_z[m/s2],input_omega_x[rad/s],input_omega_y[rad/s],input_omega_z[rad/s],crank_omega_z[rad/s]
1.866281250000013103e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.964322796328671572e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.465362108793634661e+02,-3.192993460989133947e+00,-3.278780841778841904e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.820000000098382316e+02,-9.400077327654140902e+01
1.866781250000013048e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.967574129149156414e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.644606104309208661e+01,-1.612000556317003674e+00,-3.403788878012282026e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.820000000096522967e+02,-9.400105890826901600e+01
1.867281250000012993e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.959269237661996010e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.765034461678571347e+02,1.307146724447510122e+00,-3.374455764428790161e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.820000000088759293e+02,-9.400015993005946768e+01
1.867781250000012938e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.941102492857160300e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.048315741749610766e+02,-6.057584754976986119e+00,-2.521008985837266181e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999945011382e+02,-9.400003009082364258e+01
1.868281250000012883e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.918450970178650072e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.759727763708112320e+02,-8.639856326402703957e+00,-2.127137341138542226e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999965988877e+02,-9.400041569391727592e+01
1.868781250000012828e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.897611307271274583e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.562141855371647239e+02,-1.222152738832300223e+01,-1.777270285052565768e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999960090804e+02,-9.399930796786452447e+01
1.869281250000012773e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.882327815462277565e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.486895010251885196e+02,-1.229189871331986694e+01,-1.722764095952504348e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999962371930e+02,-9.399998245466382230e+01
1.869781250000012718e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.873924164838982165e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.483852928891850809e+01,-1.248162785214679182e+01,-1.715848550284522034e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999958571379e+02,-9.399967803167375280e+01
1.870281250000012663e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.874198909616850761e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.433772991334657831e+01,-1.171629932192610823e+01,-1.828639059406170730e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999946580829e+02,-9.399968557949379999e+01
1.870781250000013163e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.884069554440046090e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.100408898017611250e+02,-1.400825165932238647e+01,-1.728421864031275845e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.820000000034285677e+02,-9.399975363865664235e+01
1.871281250000013940e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.902401969344521993e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.930195971568849131e+02,-1.057862173691839658e+01,-2.086973079278584464e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.819999999977430321e+02,-9.399961723586801554e+01
